 retail_chain_id |      centre_id      | retailer_id |                              name                              
              12 | chermside           |        1268 | OPSM
              12 | tuggerah            |        2480 | OPSM
              12 | helensvale          |       25432 | OPSM
              12 | innaloo             |        1120 | OPSM
              12 | warringahmall       |       48865 | OPSM
              12 | gardencity          |       18853 | OPSM
              12 | plentyvalley        |       33558 | OPSM
              12 | miranda             |        2783 | OPSM
              12 | eastgardens         |        4887 | OPSM 
              12 | chatswood           |        1862 | OPSM
              12 | whitfordcity        |       21883 | OPSM
              12 | knox                |       48764 | OPSM
              12 | teatreeplaza        |        3710 | OPSM
              12 | southland           |        3380 | OPSM
              12 | geelong             |       18040 | OPSM
              14 | eastgardens         |        4904 | Sheike
              14 | hurstville          |        4004 | Sheike
              14 | chatswood           |        1897 | Sheike
              14 | carindale           |       48200 | Sheike
              14 | burwood             |         743 | Sheike
              14 | bondijunction       |       51498 | Sheike
              14 | doncaster           |       51827 | Sheike
              14 | miranda             |        2901 | SHEIKE
              14 | kotara              |       32026 | Sheike
              14 | sydney              |       42133 | Sheike
              14 | parramatta          |        4306 | Sheike
              16 | eastgardens         |       42425 | Diana Ferrari
              16 | miranda             |       29618 | Diana Ferrari
              16 | southland           |       27631 | Diana Ferrari
              16 | centrepoint         |        2699 | Diana Ferrari
              16 | warringahmall       |       48993 | Diana Ferrari
              16 | woden               |       35815 | Diana Ferrari
              16 | chermside           |       29361 | Diana Ferrari
              16 | chatswood           |       36290 | Diana Ferrari
              16 | penrith             |       26422 | Diana Ferrari
              16 | burwood             |       27866 | Diana Ferrari
              16 | hornsby             |        1533 | Diana Ferrari
              16 | fountaingate        |       28445 | Diana Ferrari
              16 | gardencity          |       42776 | Diana Ferrari
              16 | kotara              |       32996 | Diana Ferrari
              16 | doncaster           |       35454 | Diana Ferrari
              16 | knox                |       48616 | Diana Ferrari
              17 | liverpool           |       21189 | Autograph
              17 | burwood             |       43349 | Autograph
              17 | fountaingate        |       19487 | Autograph
              17 | westlakes           |       51978 | Autograph
              17 | northrocks          |       19400 | Autograph
              17 | northlakes          |       18430 | Autograph
              17 | strathpine          |         464 | Autograph
              17 | figtree             |       36012 | Autograph
              17 | belconnen           |       20028 | Autograph 
              17 | miranda             |       32539 | Autograph
              17 | carousel            |       30631 | Autograph
              17 | airportwest         |       21685 | Autograph
              17 | hornsby             |        1619 | Autograph
              17 | whitfordcity        |       21737 | Autograph
              17 | kotara              |       31846 | Autograph
              17 | knox                |       48606 | Autograph
              17 | southland           |       51355 | Autograph
              17 | chermside           |        1218 | Autograph 
              17 | geelong             |       34022 | Autograph
              17 | tuggerah            |       15429 | Autograph
              17 | warrawong           |         615 | Autograph
              17 | eastgardens         |       51840 | Autograph
              17 | penrith             |       24670 | Autograph
              17 | teatreeplaza        |       18322 | Autograph
              17 | helensvale          |       25343 | Autograph
              17 | marion              |       19203 | Autograph
              17 | mtdruitt            |       29047 | Autograph
              18 | knox                |       48609 | Bras N Things
              18 | hurstville          |        4044 | Bras N Things
              18 | parramatta          |        4214 | Bras N Things
              18 | kotara              |       18609 | Bras N Things
              18 | teatreeplaza        |        3843 | Bras N Things
              18 | chermside           |       39877 | Bras N Things 
              18 | burwood             |       23073 | Bras N Things
              18 | whitfordcity        |       21768 | Bras N Things
              18 | airportwest         |          95 | Bras N Things
              18 | penrith             |       24695 | Bras N Things
              18 | miranda             |        2985 | Bras N Things
              18 | westlakes           |       22313 | Bras N Things
              18 | gardencity          |       18732 | Bras N Things
              18 | belconnen           |       17395 | Bras N Things
              18 | fountaingate        |        4639 | Bras N Things
              18 | strathpine          |         425 | Bras N Things
              18 | geelong             |       17989 | Bras N Things
              18 | carousel            |         919 | Bras N Things
              18 | tuggerah            |        2441 | Bras N Things
              18 | mtdruitt            |       18178 | Bras N Things
              18 | carindale           |        5374 | Bras N Things
              18 | northlakes          |       32031 | Bras N Things
              18 | marion              |       17131 | Bras N Things
              18 | innaloo             |        1111 | Bras N Things
              18 | doncaster           |       35390 | Bras N Things
              18 | helensvale          |       25527 | Bras N Things
              18 | southland           |        3435 | Bras N Things
              18 | bondijunction       |       31090 | Bras N Things
              18 | liverpool           |        3201 | Bras N Things
              18 | plentyvalley        |       33567 | Bras N Things
              18 | eastgardens         |       51051 | Bras N Things
              19 | teatreeplaza        |       34646 | City Chic
              19 | miranda             |       32538 | City Chic
              19 | doncaster           |       42086 | City Chic
              19 | kotara              |       31845 | City Chic
              19 | chermside           |       29339 | City Chic
              19 | whitfordcity        |       26527 | City Chic
              19 | parramatta          |       36502 | City Chic 
              19 | liverpool           |       34308 | City Chic
              19 | belconnen           |       43947 | City Chic
              19 | westlakes           |       37149 | City Chic
              19 | eastgardens         |       21366 | City Chic
              19 | knox                |       48612 | City Chic
              19 | penrith             |       26296 | City Chic
              19 | northlakes          |       32099 | City Chic
              19 | gardencity          |       42377 | City Chic
              19 | sydney              |       52162 | City Chic
              19 | fountaingate        |       32869 | City Chic
              19 | burwood             |       21354 | City Chic
              19 | hurstville          |       21022 | City Chic
              19 | southland           |       21106 | City Chic
              19 | carousel            |       30630 | City Chic
              19 | marion              |       26317 | City Chic
              19 | mtdruitt            |       26122 | City Chic
              19 | tuggerah            |       36759 | City Chic
              20 | teatreeplaza        |        3712 | Colorado
              20 | whitfordcity        |       21787 | Colorado
              20 | carousel            |         974 | Colorado
              20 | hornsby             |        1563 | Colorado
              20 | gardencity          |       18747 | Colorado 
              20 | burwood             |         708 | Colorado
              20 | innaloo             |       26773 | Colorado
              20 | helensvale          |       25361 | Colorado
              20 | penrith             |       26439 | Colorado
              20 | chermside           |        1251 | Colorado
              20 | tuggerah            |        2532 | Colorado
              20 | miranda             |        2945 | Colorado
              20 | strathpine          |       44991 | Colorado
              20 | parramatta          |        4305 | Colorado
              20 | carindale           |        5337 | Colorado
              20 | kotara              |       18601 | Colorado
              20 | woden               |       25633 | Colorado
              20 | doncaster           |       35453 | Colorado
              20 | marion              |       17194 | Colorado
              20 | eastgardens         |        4902 | Colorado
              20 | westlakes           |       22928 | Colorado
              20 | chatswood           |        1919 | Colorado
              20 | plentyvalley        |       33522 | Colorado
              20 | belconnen           |       17410 | Colorado
              22 | whitfordcity        |       42351 | Crossroads
              22 | liverpool           |       22956 | Crossroads
              22 | fountaingate        |       50357 | Crossroads
              22 | carousel            |       22468 | Crossroads
              22 | mtdruitt            |        5163 | Crossroads
              22 | penrith             |       24716 | Crossroads
              22 | strathpine          |         438 | Crossroads
              22 | miranda             |        2951 | Crossroads
              22 | parramatta          |       29189 | Crossroads
              22 | tuggerah            |        2500 | Crossroads
              22 | innaloo             |       44176 | Crossroads
              22 | knox                |       48615 | Crossroads
              22 | helensvale          |       25366 | Crossroads
              22 | belconnen           |       17412 | Crossroads
              23 | whitfordcity        |       37040 | Cue
              23 | eastgardens         |       49904 | Cue
              23 | penrith             |       26448 | Cue
              23 | parramatta          |        4346 | Cue
              23 | chermside           |        1242 | Cue
              23 | hurstville          |        4028 | Cue
              23 | miranda             |        2902 | Cue
              23 | woden               |       25635 | Cue
              23 | chatswood           |        1896 | Cue
              23 | bondijunction       |       21042 | Cue
              23 | kotara              |       31890 | Cue
              23 | gardencity          |       18754 | Cue
              23 | marion              |       17189 | Cue
              23 | southland           |        3530 | Cue
              23 | liverpool           |       44934 | Cue
